nivel1,nivel2,nivel3,nivel4,monto
DIRECC. GRAL. DE GESTION AMBIENTAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,36000000
DIRECC. GRAL. DE GESTION AMBIENTAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,185569590
DIRECC. GRAL. DE GESTION AMBIENTAL,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,362410829
DIRECC. GRAL. DE GESTION AMBIENTAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL TÉCNICO,90712715
DIRECC. GRAL. DE GESTION AMBIENTAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,941037968
DIRECC. GRAL. DE GESTION AMBIENTAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,HONORARIOS PROFESIONALES,403000000
DIRECC. GRAL. DE GESTION AMBIENTAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,389638145
DIRECC. GRAL. DE GESTION AMBIENTAL,200 SERVICIOS NO PERSONALES,220 TRANSPORTE Y ALMACENAJE,TRANSPORTE Y ALMACENAJE,100000000
DIRECC. GRAL. DE GESTION AMBIENTAL,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,71500000
DIRECC. GRAL. DE GESTION AMBIENTAL,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",236405460
DIRECC. GRAL. DE GESTION AMBIENTAL,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,600000000
DIRECC. GRAL. DE GESTION AMBIENTAL,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,900000000
DIRECC. GRAL. DE GESTION AMBIENTAL,200 SERVICIOS NO PERSONALES,290 SERV. CAPACITACION Y ADIEST.,SERV. CAPACITACION Y ADIEST.,140000000
DIRECC. GRAL. DE GESTION AMBIENTAL,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,38575000
DIRECC. GRAL. DE GESTION AMBIENTAL,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",76482870
DIRECC. GRAL. DE GESTION AMBIENTAL,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,125551365
DIRECC. GRAL. DE GESTION AMBIENTAL,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,17294400
DIRECC. GRAL. DE GESTION AMBIENTAL,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,150000000
DIRECC. GRAL. DE GESTION AMBIENTAL,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,500000000
DIRECC. GRAL. DE GESTION AMBIENTAL,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,125000000
DIRECC. GRAL. DE GESTION AMBIENTAL,500 INVERSION FISICA,590 OTROS GASTOS DE INV. Y REP. MAYORES,OTROS GASTOS DE INV. Y REP. MAYORES,120000000
DIRECC. GRAL. DE GESTION AMBIENTAL,800 TRANSFERENCIAS,850 TRANSF. CORR. AL SECTOR EXTERNO,TRANSF. CORR. AL SECTOR EXTERNO,30000000
DIRECC. GRAL. DE GABINETE,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,29900000000
DIRECC. GRAL. DE GABINETE,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,1000000000
DIRECC. GRAL. DE GABINETE,500 INVERSION FISICA,570 ADQ. DE ACTIVOS INTANGIBLES,ADQ. DE ACTIVOS INTANGIBLES,3000000000
DIRECC. GRAL. DE DESARROLLO URBANO,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,10100349120
DIRECC. GRAL. DE DESARROLLO URBANO,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,117000000
DIRECC. GRAL. DE DESARROLLO URBANO,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,851445760
DIRECC. GRAL. DE DESARROLLO URBANO,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,1752829329
DIRECC. GRAL. DE DESARROLLO URBANO,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,GRATIFIC. P/ SERV. ESPECIALES,1000000000
DIRECC. GRAL. DE DESARROLLO URBANO,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL TÉCNICO,116638145
DIRECC. GRAL. DE DESARROLLO URBANO,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,4876933048
DIRECC. GRAL. DE DESARROLLO URBANO,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,HONORARIOS PROFESIONALES,300000000
DIRECC. GRAL. DE DESARROLLO URBANO,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,740326795
DIRECC. GRAL. DE DESARROLLO URBANO,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,140000000
DIRECC. GRAL. DE DESARROLLO URBANO,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",70000000
DIRECC. GRAL. DE DESARROLLO URBANO,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,2000000
DIRECC. GRAL. DE DESARROLLO URBANO,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,1000000000
DIRECC. GRAL. DE DESARROLLO URBANO,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,25914000
DIRECC. GRAL. DE DESARROLLO URBANO,300 BIENES DE CONSUMO E INSUMOS,310 PRODUCTOS ALIMENTICIOS,PRODUCTOS ALIMENTICIOS,201765000
DIRECC. GRAL. DE DESARROLLO URBANO,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,173508800
DIRECC. GRAL. DE DESARROLLO URBANO,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",120000000
DIRECC. GRAL. DE DESARROLLO URBANO,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,150000000
DIRECC. GRAL. DE DESARROLLO URBANO,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,70000000
DIRECC. GRAL. DE DESARROLLO URBANO,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,156092275
DIRECC. GRAL. DE DESARROLLO URBANO,500 INVERSION FISICA,510 ADQUISICION DE INMUEBLES,ADQUISICION DE INMUEBLES,100000000
DIRECC. GRAL. DE DESARROLLO URBANO,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,200000000
DIRECC. GRAL. DE DESARROLLO URBANO,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,29235637
DIRECC. GRAL. DE DESARROLLO URBANO,500 INVERSION FISICA,570 ADQ. DE ACTIVOS INTANGIBLES,ADQ. DE ACTIVOS INTANGIBLES,120000000
DIRECC. GRAL. DE DESARROLLO URBANO,800 TRANSFERENCIAS,840 TRANSF. CORR. AL SECTOR PRIVADO,BECAS,504000000
DIRECC. GRAL. DE DESARROLLO URBANO,900 OTROS GASTOS,"910 PAGO DE IMP.,TASAS, GASTOS JUD.","PAGO DE IMP.,TASAS, GASTOS JUD.",14475000
DIRECC. GRAL. DE CULTURA Y TURISMO,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,1117884000
DIRECC. GRAL. DE CULTURA Y TURISMO,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,36000000
DIRECC. GRAL. DE CULTURA Y TURISMO,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,96157000
DIRECC. GRAL. DE CULTURA Y TURISMO,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,154100596
DIRECC. GRAL. DE CULTURA Y TURISMO,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL TÉCNICO,78000000
DIRECC. GRAL. DE CULTURA Y TURISMO,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,281557348
DIRECC. GRAL. DE CULTURA Y TURISMO,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,342838145
DIRECC. GRAL. DE CULTURA Y TURISMO,200 SERVICIOS NO PERSONALES,220 TRANSPORTE Y ALMACENAJE,TRANSPORTE Y ALMACENAJE,2500000
DIRECC. GRAL. DE CULTURA Y TURISMO,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,2500000
DIRECC. GRAL. DE CULTURA Y TURISMO,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",7000000
DIRECC. GRAL. DE CULTURA Y TURISMO,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,128000000
DIRECC. GRAL. DE CULTURA Y TURISMO,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,11900000
DIRECC. GRAL. DE CULTURA Y TURISMO,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",6950000
DIRECC. GRAL. DE CULTURA Y TURISMO,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,24488000
DIRECC. GRAL. DE CULTURA Y TURISMO,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,15500000
DIRECC. GRAL. DE CULTURA Y TURISMO,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,4000000
DIRECC. GRAL. DE CULTURA Y TURISMO,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,5000000
DIRECC. GRAL. DE CULTURA Y TURISMO,800 TRANSFERENCIAS,840 TRANSF. CORR. AL SECTOR PRIVADO,APORTES ENT.EDUC. E INST. S/FINES DE L.,2200000000
DIRECC. GRAL. DE CULTURA Y TURISMO,800 TRANSFERENCIAS,840 TRANSF. CORR. AL SECTOR PRIVADO,OTRAS TRANS. CORRIENTES,1400000000
DIRECC. DEL TEATRO MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,3283909200
DIRECC. DEL TEATRO MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,27000000
DIRECC. DEL TEATRO MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,275909100
DIRECC. DEL TEATRO MUNICIPAL,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,471770339
DIRECC. DEL TEATRO MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL TÉCNICO,941410320
DIRECC. DEL TEATRO MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,941380024
DIRECC. DEL TEATRO MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,242063575
DIRECC. DEL TEATRO MUNICIPAL,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,2000000
DIRECC. DEL TEATRO MUNICIPAL,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",88500000
DIRECC. DEL TEATRO MUNICIPAL,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,15300000
DIRECC. DEL TEATRO MUNICIPAL,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,14500000
DIRECC. DEL TEATRO MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,80707000
DIRECC. DEL TEATRO MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",12930450
DIRECC. DEL TEATRO MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,57298700
DIRECC. DEL TEATRO MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,13698868
DIRECC. DEL TEATRO MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,360 COMBUSTIBLES Y LUBRICANTES,OTROS BIENES DE CONSUMO,12500000
DIRECC. DEL TEATRO MUNICIPAL,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,1000000000
DIRECC. DEL TEATRO MUNICIPAL,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,200000000
DIRECC. DEL TEATRO MUNICIPAL,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,56202100
DIRECC. DEL POLICLINICO MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,4939640400
DIRECC. DEL POLICLINICO MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,27000000
DIRECC. DEL POLICLINICO MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,413886700
DIRECC. DEL POLICLINICO MUNICIPAL,100 SERVICIOS PERSONALES,135 APORTE JUBIL. EMPLEADOR,APORTE JUBIL. EMPLEADOR,802758828
DIRECC. DEL POLICLINICO MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL TÉCNICO,71138145
DIRECC. DEL POLICLINICO MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL DE SALUD,373054435
DIRECC. DEL POLICLINICO MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,2039940532
DIRECC. DEL POLICLINICO MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,94850860
DIRECC. DEL POLICLINICO MUNICIPAL,200 SERVICIOS NO PERSONALES,210 SERVICIOS BASICOS,SERVICIOS BASICOS,35000000
DIRECC. DEL POLICLINICO MUNICIPAL,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,481.8
DIRECC. DEL POLICLINICO MUNICIPAL,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",350000000
DIRECC. DEL POLICLINICO MUNICIPAL,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,50000000
DIRECC. DEL POLICLINICO MUNICIPAL,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,7920000
DIRECC. DEL POLICLINICO MUNICIPAL,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,2200000
DIRECC. DEL POLICLINICO MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,9500000
DIRECC. DEL POLICLINICO MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",15000000
DIRECC. DEL POLICLINICO MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,18000000
DIRECC. DEL POLICLINICO MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,93645000
DIRECC. DEL POLICLINICO MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,9000000
DIRECC. DEL POLICLINICO MUNICIPAL,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,700000000
DIRECC. DEL POLICLINICO MUNICIPAL,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,80000000
DIRECC. DEL POLICLINICO MUNICIPAL,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,20000000
DIRECC. DEL POLICLINICO MUNICIPAL,800 TRANSFERENCIAS,830 OTRAS TRANSF. CORR. AL S. PUB. O PRIV.,OTRAS TRANSF. AL SECTOR PÚB.,223113200
DIRECC. DEL MERCADO 4,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,1944461280
DIRECC. DEL MERCADO 4,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,27000000
DIRECC. DEL MERCADO 4,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,164288440
DIRECC. DEL MERCADO 4,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,581470348
DIRECC. DEL MERCADO 4,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,BONIFIC. POR VENTAS,188581900
DIRECC. DEL MERCADO 4,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,2541068114
DIRECC. DEL MERCADO 4,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,430876290
DIRECC. DEL MERCADO 4,200 SERVICIOS NO PERSONALES,210 SERVICIOS BASICOS,SERVICIOS BASICOS,15840000
DIRECC. DEL MERCADO 4,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,5182800
DIRECC. DEL MERCADO 4,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",66635880
DIRECC. DEL MERCADO 4,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,427800000
DIRECC. DEL MERCADO 4,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,300000000
DIRECC. DEL MERCADO 4,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,23761000
DIRECC. DEL MERCADO 4,300 BIENES DE CONSUMO E INSUMOS,310 PRODUCTOS ALIMENTICIOS,PRODUCTOS ALIMENTICIOS,20970000
DIRECC. DEL MERCADO 4,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,150367800
DIRECC. DEL MERCADO 4,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",64960000
DIRECC. DEL MERCADO 4,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,105628000
DIRECC. DEL MERCADO 4,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,32234500
DIRECC. DEL MERCADO 4,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,58319600
DIRECC. DEL MERCADO 4,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,200000000
DIRECC. DEL MERCADO 4,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,22240000
DIRECC. DEL MERCADO 4,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,11000000
DIRECC. DEL MERCADO 4,500 INVERSION FISICA,570 ADQ. DE ACTIVOS INTANGIBLES,ADQ. DE ACTIVOS INTANGIBLES,200000000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,2741340960
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,27000000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,230695080
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,1131628214
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL TÉCNICO,23712715
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,5630011887
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,596552580
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,5040000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",322000000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,100000000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,111200000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,730500000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,300 BIENES DE CONSUMO E INSUMOS,310 PRODUCTOS ALIMENTICIOS,PRODUCTOS ALIMENTICIOS,3500000000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,475128850
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",41500000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,489377500
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,480408296
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,540059000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,1000000000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,1000000000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,30000000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,500 INVERSION FISICA,550 ADQ. DE EQ. MILITAR Y DE SEGURIDAD,ADQ. DE EQ. MILITAR Y DE SEGURIDAD,45100000
DIRECC. DEL JARDIN BOTANICO Y ZOOLOGICO,800 TRANSFERENCIAS,870 TRANSF. DE CAPITAL AL SECTOR PRIV.,APORTES Y SUB. A ENT. EDUC. E INST. PRIV. S/ FINES DE LUCRO,2000000000
DIRECC. DEL CENTRO PARAGUAYO JAPONES,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,1669402920
